index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/13 19:44:36.732, 97 %, 32768 MiB, 11655 MiB, 20846 MiB
0, 2024/05/13 19:44:46.733, 98 %, 32768 MiB, 12483 MiB, 20018 MiB
0, 2024/05/13 19:44:56.734, 100 %, 32768 MiB, 12047 MiB, 20454 MiB
0, 2024/05/13 19:45:06.735, 100 %, 32768 MiB, 13035 MiB, 19466 MiB
0, 2024/05/13 19:45:16.735, 100 %, 32768 MiB, 12339 MiB, 20162 MiB
0, 2024/05/13 19:45:26.736, 100 %, 32768 MiB, 11829 MiB, 20672 MiB
0, 2024/05/13 19:45:36.737, 100 %, 32768 MiB, 12843 MiB, 19658 MiB
0, 2024/05/13 19:45:46.738, 100 %, 32768 MiB, 13423 MiB, 19078 MiB
0, 2024/05/13 19:45:56.738, 98 %, 32768 MiB, 11937 MiB, 20564 MiB
0, 2024/05/13 19:46:06.739, 100 %, 32768 MiB, 11661 MiB, 20840 MiB
0, 2024/05/13 19:46:16.740, 100 %, 32768 MiB, 11149 MiB, 21352 MiB
0, 2024/05/13 19:46:26.741, 100 %, 32768 MiB, 11625 MiB, 20876 MiB
0, 2024/05/13 19:46:36.741, 100 %, 32768 MiB, 12121 MiB, 20380 MiB
0, 2024/05/13 19:46:46.742, 100 %, 32768 MiB, 11045 MiB, 21456 MiB
0, 2024/05/13 19:46:56.743, 98 %, 32768 MiB, 11921 MiB, 20580 MiB
0, 2024/05/13 19:47:06.744, 100 %, 32768 MiB, 10835 MiB, 21666 MiB
0, 2024/05/13 19:47:16.744, 100 %, 32768 MiB, 10863 MiB, 21638 MiB
0, 2024/05/13 19:47:26.745, 100 %, 32768 MiB, 12803 MiB, 19698 MiB
0, 2024/05/13 19:47:36.746, 100 %, 32768 MiB, 11801 MiB, 20700 MiB
0, 2024/05/13 19:47:46.747, 100 %, 32768 MiB, 11055 MiB, 21446 MiB
0, 2024/05/13 19:47:56.747, 100 %, 32768 MiB, 11991 MiB, 20510 MiB
0, 2024/05/13 19:48:06.748, 100 %, 32768 MiB, 10825 MiB, 21676 MiB
0, 2024/05/13 19:48:16.749, 100 %, 32768 MiB, 12649 MiB, 19852 MiB
0, 2024/05/13 19:48:26.750, 100 %, 32768 MiB, 11849 MiB, 20652 MiB
0, 2024/05/13 19:48:36.750, 100 %, 32768 MiB, 10633 MiB, 21868 MiB
0, 2024/05/13 19:48:46.751, 100 %, 32768 MiB, 10319 MiB, 22182 MiB
0, 2024/05/13 19:48:56.752, 100 %, 32768 MiB, 11051 MiB, 21450 MiB
0, 2024/05/13 19:49:06.753, 100 %, 32768 MiB, 11047 MiB, 21454 MiB
0, 2024/05/13 19:49:16.753, 100 %, 32768 MiB, 9915 MiB, 22586 MiB
0, 2024/05/13 19:49:26.754, 100 %, 32768 MiB, 11955 MiB, 20546 MiB
0, 2024/05/13 19:49:36.755, 100 %, 32768 MiB, 11817 MiB, 20684 MiB
0, 2024/05/13 19:49:46.756, 100 %, 32768 MiB, 11185 MiB, 21316 MiB
0, 2024/05/13 19:49:56.757, 100 %, 32768 MiB, 10853 MiB, 21648 MiB
0, 2024/05/13 19:50:06.758, 100 %, 32768 MiB, 11051 MiB, 21450 MiB
0, 2024/05/13 19:50:16.758, 100 %, 32768 MiB, 10503 MiB, 21998 MiB
0, 2024/05/13 19:50:26.759, 100 %, 32768 MiB, 11789 MiB, 20712 MiB
0, 2024/05/13 19:50:36.760, 98 %, 32768 MiB, 12811 MiB, 19690 MiB
0, 2024/05/13 19:50:46.761, 100 %, 32768 MiB, 11837 MiB, 20664 MiB
0, 2024/05/13 19:50:56.761, 100 %, 32768 MiB, 11953 MiB, 20548 MiB
0, 2024/05/13 19:51:06.762, 97 %, 32768 MiB, 10313 MiB, 22188 MiB
0, 2024/05/13 19:51:16.763, 100 %, 32768 MiB, 12663 MiB, 19838 MiB
0, 2024/05/13 19:51:26.764, 100 %, 32768 MiB, 12425 MiB, 20076 MiB
0, 2024/05/13 19:51:36.765, 100 %, 32768 MiB, 9691 MiB, 22810 MiB
0, 2024/05/13 19:51:46.765, 100 %, 32768 MiB, 11885 MiB, 20616 MiB
0, 2024/05/13 19:51:56.766, 100 %, 32768 MiB, 10521 MiB, 21980 MiB
0, 2024/05/13 19:52:06.767, 100 %, 32768 MiB, 10583 MiB, 21918 MiB
0, 2024/05/13 19:52:16.768, 100 %, 32768 MiB, 12811 MiB, 19690 MiB
